event_id,announcement_date,filer,target_named_in_document,target_source,secid,secid_in_reference_book,procedure_price,market_close_before,price_to_market,status
e1-azipi-4221581,2023-09-26,"Публичное акционерное общество ""Славянский кирпич""","Публичное акционерное общество ""Славянский кирпич""",filer,,,5.00,,,target_not_listed_on_moex
e1-azipi-4224438,2023-10-05,"Публичное акционерное общество ""Детский мир""","ПАО ""Детский мир""",document,DSKY,DSKY,71.5,69.12,1.034,ok
e1-azipi-4224438,2023-10-05,"Публичное акционерное общество ""Детский мир""","ПАО ""Детский мир""",document,DSKY,DSKY,71.5,69.12,1.034,ok
e1-azipi-4227373,2023-10-17,"Публичное акционерное общество ""Завод железобетонных изделий и конструкций""","Публичное акционерное общество ""Завод железобетонных изделий и конструкций""",filer,,,1,,,target_not_listed_on_moex
e1-azipi-4227334,2023-10-17,"Публичное акционерное общество ""Эталон""","Публичное акционерное общество ""Эталон""",filer,,,50,,,target_not_listed_on_moex
e1-azipi-4234505,2023-11-13,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КИЕВСКОЕ""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КИЕВСКОЕ""",filer,,,750,,,target_not_listed_on_moex
e1-azipi-4238667,2023-11-29,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВАСТОПОЛЬ-БАКАЛЕЯ""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВАСТОПОЛЬ-БАКАЛЕЯ""",filer,,,0.74,,,target_not_listed_on_moex
e1-azipi-4244285,2023-12-19,"Открытое Акционерное Общество ""Наро-Фоминский завод пластических масс""","Открытое Акционерное Общество ""Наро-Фоминский завод пластических масс""",filer,,,40342.89,,,target_not_listed_on_moex
e1-azipi-4244448,2023-12-19,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАВРИЯ""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАВРИЯ""",filer,,,0.01,,,target_not_listed_on_moex
e1-azipi-4244259,2023-12-19,"Публичное акционерное общество ""Карат""","Публичное акционерное общество ""Карат""",filer,,,1,,,target_not_listed_on_moex
e1-azipi-4253234,2024-01-25,"Публичное акционерное общество ""Кубинтерсвязь""","Публичное акционерное общество ""Кубинтерсвязь""",filer,,,1804,,,target_not_listed_on_moex
e1-azipi-4254451,2024-01-30,"Публичное акционерное общество Акционерная электротехническая компания ""Динамо""","Публичное акционерное общество Акционерная электротехническая компания ""Динамо""",filer,,,16.92,,,target_not_listed_on_moex
e1-azipi-4258210,2024-02-12,"Публичное акционерное общество ""Пермская научно-производственная приборостроительная компания""","Публичное акционерное общество ""Пермская научно-производственная приборостроительная компания""",filer,,,64316.67,,,target_not_listed_on_moex
e1-azipi-4259256,2024-02-15,"Публичное акционерное общество ""Приборный завод ""Сигнал""","Публичное акционерное общество ""Приборный завод ""Сигнал""",filer,,,1926,,,target_not_listed_on_moex
e1-azipi-4259700,2024-02-16,"Открытое акционерное  общество ""Тюменьхлебопродукт""","Открытое акционерное  общество ""Тюменьхлебопродукт""",filer,,,2257,,,target_not_listed_on_moex
e1-azipi-4262021,2024-02-27,"Акционерное общество ""МОСТЕПЛОСЕТЬСТРОЙ""","Акционерное общество ""МОСТЕПЛОСЕТЬСТРОЙ""",filer,,,2,,,target_not_listed_on_moex
e1-azipi-4262569,2024-02-29,"Открытое акционерное общество ""Владивостокский морской рыбный порт""","ОАО ""Владморрыбпорт""",document,,,442,,,target_not_listed_on_moex
e1-azipi-4263949,2024-03-05,"Публичное акционерное общество Племзавод ""Заря""","Публичное акционерное общество Племзавод ""Заря""",filer,,,0.01,,,target_not_listed_on_moex
e1-azipi-4270366,2024-03-25,"Публичное акционерное общество ""Автокомбинат №36""","Публичное акционерное общество ""Автокомбинат №36""",filer,,,0.12,,,target_not_listed_on_moex
e1-azipi-4273759,2024-04-01,"Публичное акционерное общество "" НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ФИЛЬТРЫ ИНДУСТРИАЛЬНЫЕ ГАЗООЧИСТНЫЕ (Семибратовский завод газоочистительной аппаратуры)""","Публичное акционерное общество "" НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ФИЛЬТРЫ ИНДУСТРИАЛЬНЫЕ ГАЗООЧИСТНЫЕ (Семибратовский завод газоочистительной аппаратуры)""",filer,,,0.54,,,target_not_listed_on_moex
e1-azipi-4277245,2024-04-10,"Публичное акционерное общество ""Лесной""","Публичное акционерное общество ""Лесной""",filer,,,1.00,,,target_not_listed_on_moex
e1-azipi-4278708,2024-04-15,"Акционерное общество ""Волоколамскхлеб""","АО ""Волоколамскхлеб""",document,,,3387.77,,,target_not_listed_on_moex
e1-azipi-4280225,2024-04-18,"Акционерное общество ""Мосвторцветмет""","Акционерное общество ""Мосвторцветмет""",filer,,,940,,,target_not_listed_on_moex
